Title,web_Link
Moulin Rouge! The Musical,https://www.ibdb.com/broadway-production/moulin-rouge-the-musical-520640
Kinky Boots,https://www.ibdb.com/broadway-production/kinky-boots-493287
Elf,https://www.ibdb.com/broadway-production/elf-493278
Fela!,https://www.ibdb.com/broadway-production/fela-493032
How to Succeed in Business Without Really Trying,https://www.ibdb.com/broadway-production/how-to-succeed-in-business-without-really-trying-488364
Elf,https://www.ibdb.com/broadway-production/elf-488284
Hair,https://www.ibdb.com/broadway-production/hair-481766
A Tale of Two Cities,https://www.ibdb.com/broadway-production/a-tale-of-two-cities-478295
Curtains,https://www.ibdb.com/broadway-production/curtains-453332
The Wedding Singer,https://www.ibdb.com/broadway-production/the-wedding-singer-402890
Sweet Charity,https://www.ibdb.com/broadway-production/sweet-charity-378059
Wonderful Town,https://www.ibdb.com/broadway-production/wonderful-town-13560
Man of La Mancha,https://www.ibdb.com/broadway-production/man-of-la-mancha-13422
Chicago,https://www.ibdb.com/broadway-production/chicago-4804
Topdog / Underdog,https://www.ibdb.com/broadway-production/topdog--underdog-13325
Hedda Gabler,https://www.ibdb.com/broadway-production/hedda-gabler-12937
A Class Act,https://www.ibdb.com/broadway-production/a-class-act-12818
The Ride Down Mt. Morgan,https://www.ibdb.com/broadway-production/the-ride-down-mt-morgan-12490
It Ain't Nothin' But the Blues,https://www.ibdb.com/broadway-production/it-aint-nothin-but-the-blues-8379
"You're a Good Man, Charlie Brown",https://www.ibdb.com/broadway-production/youre-a-good-man-charlie-brown-5211
"Bring in 'Da Noise, Bring in 'Da Funk",https://www.ibdb.com/broadway-production/bring-in-da-noise-bring-in-da-funk-4789
Fool Moon,https://www.ibdb.com/broadway-production/fool-moon-4311
Buttons On Broadway,https://www.ibdb.com/broadway-production/buttons-on-broadway-4301
The Circle,https://www.ibdb.com/broadway-production/the-circle-4257
Ain't Misbehavin',https://www.ibdb.com/broadway-production/aint-misbehavin-12583
Oba Oba,https://www.ibdb.com/broadway-production/oba-oba-4500
Dreamgirls,https://www.ibdb.com/broadway-production/dreamgirls-4474
Barbara Cook: A Concert for the Theatre,https://www.ibdb.com/broadway-production/barbara-cook-a-concert-for-the-theatre-4454
Leader of the Pack,https://www.ibdb.com/broadway-production/leader-of-the-pack-4367
A View From the Bridge,https://www.ibdb.com/broadway-production/a-view-from-the-bridge-4205
Herman Van Veen: All of Him,https://www.ibdb.com/broadway-production/herman-van-veen-all-of-him-4195
Dancin',https://www.ibdb.com/broadway-production/dancin-4051
Division Street,https://www.ibdb.com/broadway-production/division-street-3969
Your Arms Too Short to Box With God,https://www.ibdb.com/broadway-production/your-arms-too-short-to-box-with-god-3958
Cabaret,https://www.ibdb.com/broadway-production/cabaret-538277
Funny Girl,https://www.ibdb.com/broadway-production/funny-girl-532545
Slave Play,https://www.ibdb.com/broadway-production/slave-play-532475
Pass Over,https://www.ibdb.com/broadway-production/pass-over-531737
Mean Girls,https://www.ibdb.com/broadway-production/mean-girls-515822
Home for the Holidays,https://www.ibdb.com/broadway-production/home-for-the-holidays-516420
Groundhog Day,https://www.ibdb.com/broadway-production/groundhog-day-510225
Jersey Boys,https://www.ibdb.com/broadway-production/jersey-boys-394781
